set_number,image_number,theme,prompt
1,1,Wildflower Meadow,"flat artwork style, wildflower bouquet with daisies and small blue flowers in arch frame, beige background, muted pastel colors, minimalist botanical art, 5:7 aspect ratio, printable wall art"
1,2,Wildflower Meadow,"flat artwork style, pink cosmos flowers with wheat stalks in arch frame, dusty rose background, soft earth tones, minimalist botanical art, 5:7 aspect ratio, printable wall art"
1,3,Wildflower Meadow,"flat artwork style, white poppies with lavender sprigs in arch frame, sage green background, gentle muted palette, minimalist botanical art, 5:7 aspect ratio, printable wall art"
2,1,Ocean Dreams,"flat artwork style, abstract ocean waves in layered blue tones inside arch frame, sandy beige accents, calm coastal aesthetic, 5:7 aspect ratio, printable wall art"
2,2,Ocean Dreams,"flat artwork style, seashells and coral arrangement in arch frame, terracotta and cream colors, beach house decor, 5:7 aspect ratio, printable wall art"
2,3,Ocean Dreams,"flat artwork style, sea grass and starfish silhouettes in arch frame, teal and white palette, serene coastal vibe, 5:7 aspect ratio, printable wall art"
3,1,Mountain Sunrise,"flat artwork style, layered mountain silhouettes at dawn in arch frame, peach and coral gradient sky, geometric landscape, 5:7 aspect ratio, printable wall art"
3,2,Mountain Sunrise,"flat artwork style, pine forest treeline in arch frame, misty purple and pink layers, minimalist nature scene, 5:7 aspect ratio, printable wall art"
3,3,Mountain Sunrise,"flat artwork style, rolling hills with single tree in arch frame, golden olive tones, peaceful landscape, 5:7 aspect ratio, printable wall art"
4,1,Celestial Magic,"flat artwork style, crescent moon with scattered stars in arch frame, deep navy blue background, gold accents, mystical night art, 5:7 aspect ratio, printable wall art"
4,2,Celestial Magic,"flat artwork style, abstract sun rays in arch frame, warm terracotta and gold, boho celestial design, 5:7 aspect ratio, printable wall art"
4,3,Celestial Magic,"flat artwork style, constellation map with shooting star in arch frame, dark plum background, cosmic wonder theme, 5:7 aspect ratio, printable wall art"
5,1,Japanese Garden,"flat artwork style, cherry blossom branch in arch frame, soft pink background, Japanese ink aesthetic, zen minimalist art, 5:7 aspect ratio, printable wall art"
5,2,Japanese Garden,"flat artwork style, bamboo stalks in arch frame, sage green tones, Asian botanical design, peaceful harmony, 5:7 aspect ratio, printable wall art"
5,3,Japanese Garden,"flat artwork style, red maple leaves floating in arch frame, warm cream background, autumn momiji theme, 5:7 aspect ratio, printable wall art"
6,1,Tropical Paradise,"flat artwork style, monstera leaf in arch frame, deep emerald green, modern botanical art, bold tropical design, 5:7 aspect ratio, printable wall art"
6,2,Tropical Paradise,"flat artwork style, bird of paradise flower in arch frame, coral orange background, exotic bloom design, 5:7 aspect ratio, printable wall art"
6,3,Tropical Paradise,"flat artwork style, palm fronds with plumeria in arch frame, turquoise background, island vacation mood, 5:7 aspect ratio, printable wall art"
7,1,Desert Sunset,"flat artwork style, saguaro cactus silhouette in arch frame, burnt orange sunset gradient, southwestern boho art, 5:7 aspect ratio, printable wall art"
7,2,Desert Sunset,"flat artwork style, prickly pear cactus with blooms in arch frame, dusty pink background, desert botanical design, 5:7 aspect ratio, printable wall art"
7,3,Desert Sunset,"flat artwork style, agave plant under desert moon in arch frame, terracotta tones, peaceful desert night, 5:7 aspect ratio, printable wall art"
8,1,Woodland Creatures,"flat artwork style, deer silhouette with ferns in arch frame, forest green background, enchanted woodland art, 5:7 aspect ratio, printable wall art"
8,2,Woodland Creatures,"flat artwork style, owl on branch with autumn leaves in arch frame, warm brown tones, cozy forest theme, 5:7 aspect ratio, printable wall art"
8,3,Woodland Creatures,"flat artwork style, rabbit among wildflowers in arch frame, soft lavender background, sweet meadow scene, 5:7 aspect ratio, printable wall art"
9,1,Abstract Geometry,"flat artwork style, overlapping circles and arcs in arch frame, blush pink and cream, modern geometric art, 5:7 aspect ratio, printable wall art"
9,2,Abstract Geometry,"flat artwork style, flowing curved lines in arch frame, dusty blue gradient, organic wave pattern, 5:7 aspect ratio, printable wall art"
9,3,Abstract Geometry,"flat artwork style, terrazzo speckle pattern in arch frame, warm taupe colors, contemporary texture design, 5:7 aspect ratio, printable wall art"
10,1,Herb Garden,"flat artwork style, rosemary and thyme sprigs in arch frame, olive green background, kitchen botanical art, 5:7 aspect ratio, printable wall art"
10,2,Herb Garden,"flat artwork style, lavender stems in bloom in arch frame, soft purple tones, Provence inspired design, 5:7 aspect ratio, printable wall art"
10,3,Herb Garden,"flat artwork style, eucalyptus branches in arch frame, mint sage colors, modern greenery art, 5:7 aspect ratio, printable wall art"
